Zone,Baseline_MAE,P50_MAE,Baseline_RMSE,P50_RMSE,MAE_Improvement,RMSE_Improvement
zone_residential,0.01749204844236374,0.014931661076843739,0.022385127212510375,0.019041166006246286,0.0025603873655200005,0.0033439612062640886
zone_commercial,0.017644837498664856,0.014786587096750736,0.024155283598842763,0.019151667011828504,0.0028582504019141197,0.005003616587014259
zone_industrial,0.0314120277762413,0.029176807031035423,0.04001658814891733,0.03713061013744327,0.002235220745205879,0.002885978011474055
