Zone,Joint_MAE,Independent_MAE,Joint_RMSE,Independent_RMSE,MAE_Improvement,RMSE_Improvement
zone_residential,0.018960129469633102,0.015404516831040382,0.023610563879103343,0.019811038864797677,-0.00355561263859272,-0.003799525014305666
zone_commercial,0.020705804228782654,0.01634841598570347,0.026019354043221695,0.02141436704112368,-0.0043573882430791855,-0.004604987002098014
zone_industrial,0.03244287148118019,0.029453828930854797,0.041043877805036995,0.03747486057884211,-0.0029890425503253937,-0.003569017226194883
