Model,MAE,RMSE
Load Only,0.0074977929810133665,0.01011236385559073
Temp Only,0.08219512835320193,0.09954419330630185
Calendar Only,0.04676481896462727,0.06166003035242376
Fusion Model,0.006048709324116854,0.008025437092861895
